name_wiki,genre_wiki,release_wiki,url_wiki
Dogs (Pink Floyd song),,23 January 1977 (UK) / 2 February 1977 (US),https://en.wikipedia.org/wiki/Dogs_(Pink_Floyd_song)
Don't Download This Song,,"August 21, 2006",https://en.wikipedia.org/wiki/Don%27t_Download_This_Song
Don't Shoot,,"August 27, 2014",https://en.wikipedia.org/wiki/Don%27t_Shoot
"(Don't Worry) If There's a Hell Below, We're All Going to Go",,November 1970,"https://en.wikipedia.org/wiki/(Don%27t_Worry)_If_There%27s_a_Hell_Below,_We%27re_All_Going_to_Go"
(Don't) Give Hate a Chance,,7 November 2005,https://en.wikipedia.org/wiki/(Don%27t)_Give_Hate_a_Chance
Down on Me (traditional song),,1967,https://en.wikipedia.org/wiki/Down_on_Me_(traditional_song)
Dreamworld (Midnight Oil song),,1988,https://en.wikipedia.org/wiki/Dreamworld_(Midnight_Oil_song)
Dubul' ibhunu,,,https://en.wikipedia.org/wiki/Dubul%27_ibhunu
Easy/Lucky/Free,,"July 25, 2005",https://en.wikipedia.org/wiki/Easy/Lucky/Free
Edge of a Revolution,,"August 18, 2014 (radio)  August 19, 2014 (Digital download)",https://en.wikipedia.org/wiki/Edge_of_a_Revolution
Edge of Reality (song),,"November 5, 1968[1]",https://en.wikipedia.org/wiki/Edge_of_Reality_(song)
Ekla Chalo Re,,sometime between 1905 and 1908[1],https://en.wikipedia.org/wiki/Ekla_Chalo_Re
"El Salvador (Peter, Paul and Mary song)",,,"https://en.wikipedia.org/wiki/El_Salvador_(Peter,_Paul_and_Mary_song)"
Isoldé Elchlepp,,,https://en.wikipedia.org/wiki/Isold%C3%A9_Elchlepp
Electioneering (song),,,https://en.wikipedia.org/wiki/Electioneering_(song)
Erase Racism,,"November 14, 1990",https://en.wikipedia.org/wiki/Erase_Racism
Ermutigung,,,https://en.wikipedia.org/wiki/Ermutigung
Eve of Destruction (song),,August 1965,https://en.wikipedia.org/wiki/Eve_of_Destruction_(song)
Even Flow,,"April 6, 1992 (1992-04-06)",https://en.wikipedia.org/wiki/Even_Flow
Everything Will Flow,,6 September 1999,https://en.wikipedia.org/wiki/Everything_Will_Flow
Evviva Il Papa,,,https://en.wikipedia.org/wiki/Evviva_Il_Papa
Exhuming McCarthy,,,https://en.wikipedia.org/wiki/Exhuming_McCarthy
Les F...,,,https://en.wikipedia.org/wiki/Les_F...
Fables of Faubus,,1959,https://en.wikipedia.org/wiki/Fables_of_Faubus
Faint (song),,"June 9, 2003",https://en.wikipedia.org/wiki/Faint_(song)
Fake Woke,,"January 29, 2021 (2021-01-29)",https://en.wikipedia.org/wiki/Fake_Woke
Fall Dog Bombs the Moon,,,https://en.wikipedia.org/wiki/Fall_Dog_Bombs_the_Moon
Fallen Leaves,,"November 19, 2006",https://en.wikipedia.org/wiki/Fallen_Leaves
Fano tesemara,,,https://en.wikipedia.org/wiki/Fano_tesemara
Farewell to the Fairground,,23 March 2009,https://en.wikipedia.org/wiki/Farewell_to_the_Fairground
Fascist Cops,,1978,https://en.wikipedia.org/wiki/Fascist_Cops
FCC Song,,,https://en.wikipedia.org/wiki/FCC_Song
FDT (song),,"March 30, 2016 (2016-03-30)",https://en.wikipedia.org/wiki/FDT_(song)
Fight the Power (Part 1 & 2),,"May 31, 1975",https://en.wikipedia.org/wiki/Fight_the_Power_(Part_1_%26_2)
Fight the Power (Public Enemy song),,"July 4, 1989[1]",https://en.wikipedia.org/wiki/Fight_the_Power_(Public_Enemy_song)
"The ""Fish"" Cheer/I-Feel-Like-I'm-Fixin'-to-Die Rag",,November 1967,https://en.wikipedia.org/wiki/The_%22Fish%22_Cheer/I-Feel-Like-I%27m-Fixin%27-to-Die_Rag
Five Minutes (Bonzo Goes to Washington song),,"October, 1984",https://en.wikipedia.org/wiki/Five_Minutes_(Bonzo_Goes_to_Washington_song)
The Fletcher Memorial Home,,21 March 1983 (UK)2 April 1983 (US),https://en.wikipedia.org/wiki/The_Fletcher_Memorial_Home
For What It's Worth,,"December 23, 1966 (1966-12-23)",https://en.wikipedia.org/wiki/For_What_It%27s_Worth
Free Four,,10 July 1972 (1972-07-10),https://en.wikipedia.org/wiki/Free_Four
Freedom (Pharrell Williams song),,"June 30, 2015[1]",https://en.wikipedia.org/wiki/Freedom_(Pharrell_Williams_song)
Freedom for Palestine,,,https://en.wikipedia.org/wiki/Freedom_for_Palestine
Freiheit (song),,,https://en.wikipedia.org/wiki/Freiheit_(song)
Fuck Authority,,July 2001,https://en.wikipedia.org/wiki/Fuck_Authority
Fuck tha Police,,"August 9, 1988",https://en.wikipedia.org/wiki/Fuck_tha_Police
Fuck the Millennium,,13 October 1997,https://en.wikipedia.org/wiki/Fuck_the_Millennium
Fuck the Police (J Dilla song),,"September 18, 2001April 18, 2015 (Reissue)",https://en.wikipedia.org/wiki/Fuck_the_Police_(J_Dilla_song)
Fucking USA,,2002,https://en.wikipedia.org/wiki/Fucking_USA
Der Fuehrer's Face,,,https://en.wikipedia.org/wiki/Der_Fuehrer%27s_Face
Games People Play (Joe South song),,August 1968 / 1994,https://en.wikipedia.org/wiki/Games_People_Play_(Joe_South_song)
Generation Lost (song),,2008,https://en.wikipedia.org/wiki/Generation_Lost_(song)
Genocidal Humanoidz,,"November 6, 2020 (2020-11-06)",https://en.wikipedia.org/wiki/Genocidal_Humanoidz
George Bush Doesn't Care About Black People,,"September 6, 2005",https://en.wikipedia.org/wiki/George_Bush_Doesn%27t_Care_About_Black_People
George Jackson (song),,"November 12, 1971",https://en.wikipedia.org/wiki/George_Jackson_(song)
"Get Up, Stand Up",,1973,"https://en.wikipedia.org/wiki/Get_Up,_Stand_Up"
Ghost Town (Specials song),,12 June 1981 (1981-06-12),https://en.wikipedia.org/wiki/Ghost_Town_(Specials_song)
Gimme Some Truth,,9 September 1971,https://en.wikipedia.org/wiki/Gimme_Some_Truth
Give Ireland Back to the Irish,,25 February 1972,https://en.wikipedia.org/wiki/Give_Ireland_Back_to_the_Irish
Give Peace a Chance,,4 July 1969 (UK)7 July 1969 (US) / 1 February 1991 / 1 June 2008 (TW50066)1 July 2008 (TW50069)18 February 2009 (Int'l Remixes),https://en.wikipedia.org/wiki/Give_Peace_a_Chance
Glorified G,,"October 19, 1993 (1993-10-19)",https://en.wikipedia.org/wiki/Glorified_G
Glory to Hong Kong,,,https://en.wikipedia.org/wiki/Glory_to_Hong_Kong
Go Limp,,1964,https://en.wikipedia.org/wiki/Go_Limp
God Control,,"June 14, 2019 (2019-06-14)",https://en.wikipedia.org/wiki/God_Control
God Save the Queen (Sex Pistols song),,27 May 1977 / 2000,https://en.wikipedia.org/wiki/God_Save_the_Queen_(Sex_Pistols_song)
Going Down to Mississippi,,1965,https://en.wikipedia.org/wiki/Going_Down_to_Mississippi
Going Underground,,10 March 1980[1],https://en.wikipedia.org/wiki/Going_Underground
Good People (song),,June 2005,https://en.wikipedia.org/wiki/Good_People_(song)
Grievance (song),,"May 16, 2000",https://en.wikipedia.org/wiki/Grievance_(song)
Guerrilla Radio,,"October 12, 1999",https://en.wikipedia.org/wiki/Guerrilla_Radio
Hammer to Fall,,10 September 1984 (UK) 12 October 1984 (US),https://en.wikipedia.org/wiki/Hammer_to_Fall
Hands All Over (Soundgarden song),,1990,https://en.wikipedia.org/wiki/Hands_All_Over_(Soundgarden_song)
