chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_contrast,poly_features,tonnetz,tempogram
0.3628608,1939.130689497601,2539.187160772719,3743.044032991486,0.04777873430073784,0.36636946,0.22012301762935738,0.53542435,-9.470287,0.04267073,21.696039040035547,0.4074327644509292,-0.004117610001243689,0.22684596975292515
0.43505526,2290.466270718395,2730.019707430828,4481.864565444805,0.050558091657715715,0.41220984,0.2353715844278592,3.040963,1.4830873,0.12169151,21.22517049297793,1.4366396451738808,-0.035280905265679695,0.1968671759925046
0.32416034,2752.0079245947018,2735.1660584809674,5201.993544256724,0.09883470054688542,0.3692988,0.20840878352657857,0.8932949,-7.165925,0.077673,23.71353692741339,0.870968458729221,-0.0006178984184681954,0.2196208193631783
0.5157782,2754.530539897148,2738.929823176224,5318.301174293731,0.068952967151773,0.54947865,0.27271609065305324,6.1488557,5.144317,0.18940724,19.235886057666182,2.8975268906859015,-0.0024112384222405333,0.3023245823359811
0.45216632,2882.0862249647407,2780.915659799802,5653.299148606811,0.07423480795827103,0.48203805,0.24896949826518588,19.748018,5.8768272,0.32278848,18.469071650899703,4.580442412254163,0.05476094146315985,0.2521039174355207
0.5759943,3094.6239056902114,3343.4964270886544,6670.118000042327,0.067671700259051,0.4815762,0.2588246090740487,13.095832,5.9745574,0.25578284,20.953987621393992,2.785542780807595,0.029660762687595432,0.2082032294863311
0.49168625,3752.816025803608,3773.7416466520795,8058.626270589445,0.08025527754961634,0.40083084,0.24443543749233396,17.674044,7.0355334,0.3006401,19.607355710616478,3.8516744662452864,-0.03350538123698032,0.2508380725272406
0.5796712,3681.8952179329704,3600.8910243279133,7977.268429215847,0.0826124133864072,0.56542736,0.269070595654716,8.898762,5.6107593,0.21561992,18.5014711031691,3.1242896412347565,0.035117650273016165,0.1761490413226005
0.5476888,2757.2439443722383,2928.2287034279834,5642.465880780766,0.057284422540946206,0.38762408,0.24154471461918597,3.7624686,4.302797,0.14183956,19.390055282539844,1.8374632952758712,0.037702396976417564,0.27799174878450744
0.52834094,1999.765153746082,2272.57618392907,3908.284700470443,0.04552089256755334,0.5024481,0.25570996061219714,24.788782,6.219688,0.35567114,20.186854847478973,3.5791668617852306,0.003494983322130717,0.21289046513050325
0.46051282,2795.4341508520424,2726.121704057966,5405.842311611116,0.07982514058254882,0.54226696,0.26951706107217616,13.737589,3.7018032,0.28725812,19.941841808179856,4.535951648510911,0.0037102190964103036,0.27404045047149206
0.44716895,2361.421955129475,2809.4538605494763,5081.46093976756,0.040188040128332034,0.5386117,0.26551741864968864,5.502964,2.2205286,0.17621171,19.719722165115446,1.8867419499214655,0.03155158428269072,0.19039566751891931
0.4224054,2410.882196658351,2278.157704446534,4834.570766011997,0.07342620381485927,0.5002158,0.2590282344004507,3.632239,0.87339,0.14378099,20.34627275506229,1.9640225555326285,0.01822471699384947,0.22702806004976003
0.37499568,2101.0661923104194,2092.5587894042146,3944.926145571304,0.060927423601019354,0.48302808,0.25216864525486177,5.5742893,-0.67360085,0.16580774,21.16182403481579,2.2232835768560117,0.011161660509938038,0.24904289206478425
0.5598536,2961.35444193031,3360.2452697392364,6385.71971975982,0.05934777419739825,0.5788954,0.27066461924823293,24.181702,8.1880245,0.34390953,18.892559842041514,3.9541046227693606,-0.0037045310536320667,0.21330189246764414
0.46466464,2734.8123638897437,2934.1618743185795,5583.882901690693,0.07075288009940818,0.619451,0.27855591889237774,7.885619,3.7530372,0.20941916,19.94536817977891,3.1198643461117914,-0.005087459661918861,0.24675740727680337
0.4519761,2894.504644567372,2971.568037650148,5782.6650330156735,0.07788220551378447,0.51035106,0.2609981266078607,13.103448,7.436422,0.28563645,18.96425742909188,4.681506584030066,0.023350708651794467,0.288621617192107
0.32494253,1559.6405834392122,2068.543273355668,2800.899730009191,0.042627954690648194,0.4132419,0.25092408866897653,2.1680858,-1.9662132,0.101391084,22.141260649459767,0.9488398402161358,0.022344808992816517,0.20472775567583318
0.43730578,2530.7461465035285,2844.360980801325,5149.860526164619,0.06277786553217778,0.34192428,0.21220712410848813,3.8123949,-3.6992865,0.12241385,22.45649200345837,1.4468530986826187,-0.08336511497236805,0.19798444345589275
0.43325037,3110.3695562775247,3307.207694564669,6831.2253591815015,0.07974589835934374,0.47311863,0.2515432358302167,12.293449,6.869839,0.26314273,18.784069307885648,3.853561232006779,0.03050949730565779,0.2697317049957457
0.49792504,2909.511658257305,3117.660933961486,6125.662958954141,0.06326761406316914,0.3814883,0.24329464365923545,13.3132,6.815457,0.26176563,19.574681435021255,3.4504696607044725,-0.039293959438905436,0.2091471086422149
0.5282008,2361.279066872299,2578.901685809671,4862.653929530283,0.0576577209831301,0.58596885,0.27602905582829157,13.741728,4.820055,0.26256782,18.6283703234744,3.6867009844574636,0.006575424362078903,0.1973004453027045
0.42193347,2893.578560949732,3018.526199589162,5865.797863656153,0.07431113673539591,0.64173,0.27832154021463773,8.349741,4.405136,0.215434,20.09780108352844,3.181434821613132,-0.001924700697195587,0.274464214401339
0.37690887,2687.3984257037423,3012.343624499822,5585.474558732827,0.059796831013106996,0.57229346,0.26822000006477426,19.029842,4.041876,0.31089082,21.495758235077265,3.783020575775635,0.00846243041549463,0.23865232037385498
0.3894122,2503.3302767906616,2625.1489070224497,4723.80476913216,0.06706459776893213,0.36670187,0.22369667582476632,4.6524835,-3.1188934,0.15973742,22.799852834678205,1.8909057419332145,0.04467666446305791,0.24179246357204118
