,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_contrast,poly_features,tonnetz,tempogram,music
41,0.5034914,3034.918366268954,3327.8165323292965,6594.1684592988095,0.06742544386175522,0.49822134,0.25926506864717064,18.655985,5.080698,0.28236696,20.174344471130194,2.8999628000708766,0.01730855853547035,0.1213888849606808,395-Umshini wami.wav
42,0.5182998,2983.91783361775,3044.495072143878,5906.647616643286,0.08358385459446938,0.5435032,0.27019071548783324,7.566317,4.5017977,0.21108815,19.80739546300309,3.4024865899068124,0.014949777051586663,0.2755905582465307,145-Glorified G.wav
43,0.5270186,2742.945904793318,3150.9368939368846,5729.490354555679,0.05469710691294061,0.39788207,0.23241508326998536,17.475742,7.6518616999999995,0.29399577,19.86212084056753,3.497967804870244,-0.047266181431899035,0.2668299221975434,305-Pretty Hurts.wav
44,0.45846057,4140.127356446993,3463.5635716234137,7934.860352318355,0.12219780017270067,0.51119846,0.2466175623780881,12.062592500000001,2.3053205,0.24805519,20.562440552976007,3.4170776992923164,0.008173365645093699,0.1920117101208357,204-Into the New World.wav
45,0.4517765,2436.2254634507262,2819.7587712731547,4558.464102257885,0.06274600190953575,0.53542113,0.27118707200473924,8.716256,4.611496,0.22439112,19.048691423588238,3.37358179810776,0.01253468601027675,0.25990503035582657,51-British Refugee.wav
46,0.47054399999999996,2978.089384260656,2935.361312015268,6071.129955374419,0.08076212941316878,0.59683794,0.27169416252771417,17.479359,7.7001862999999995,0.31342459999999994,17.84592103508303,4.693715838806409,0.008427061236845309,0.2675905786721073,404-Viking Death March.wav
47,0.48137534,1765.3900161094489,2298.9299257643647,3684.677719257933,0.03734970303911038,0.43559435,0.2462924828771689,0.47452226,-5.31227,0.04460441,19.64784410935939,0.4334543984232931,0.018418382203383512,0.1580328527778478,370-Taxman.wav
48,0.32002115,826.7581415298063,1002.8805984153163,1348.45017943958,0.027920703369066928,0.17779543,0.14929244019352422,2.2275505,-9.743698,0.09520268,23.84747500137065,0.4837452215562089,0.09249846462486133,0.07536077485706938,"381-This Ain't a Scene, It's an Arms Race.wav"
49,0.4298585,2327.4260935854168,3026.3481214689314,5209.926829618566,0.04651305258945684,0.41093504,0.2423526875097944,6.534062400000001,4.4281015,0.17990041,21.613737992272764,2.0060988265081683,-0.028600646442847807,0.21025457332868255,376-They Dance Alone.wav
50,0.4244344,3400.153080113743,2781.9397518646783,6045.613443002612,0.11655546429097954,0.5684459,0.2670910322798617,3.6115847000000003,-0.40611303,0.15222995,20.90076662646049,2.523919734257145,0.02846305812780445,0.2762743945539393,199-In a World Gone Mad.wav
